rw,subjects_io_jump_freq
0.06495508216827,0.93504491783173
1.57672269987513e-16,1
5.89381575152682e-07,0.999999410618425
1.89266840564992e-07,0.999999810733159
7.6627705286478e-05,0.999923372294714
0.309112348077741,0.690887651922259
0.999999999999999,9.62306441021762e-16
0.999999999363579,6.36420945039423e-10
7.90209515304529e-24,1
0.62229789463755,0.37770210536245
0.550206718640679,0.449793281359321
1,6.40095708133387e-18
4.66953885159483e-11,0.999999999953305
0.999999997850033,2.14996689873978e-09
1.54588167946031e-26,1
1.55131624723381e-26,1
1,2.6796903353556e-22
5.81635502498159e-14,0.999999999999942
1.58583352867594e-13,0.999999999999841
1,2.59283397058943e-27
0.999999999999974,2.62725725898269e-14
0.00201053138409946,0.9979894686159
1,8.64662519903321e-20
1.15706823647884e-10,0.999999999884293
1,6.66168317810873e-44
1,2.98850742086244e-21
5.26170537924863e-14,0.999999999999947
0.00287985872006794,0.997120141279932
0.999999989641293,1.03587068665365e-08
0.000993175746841717,0.999006824253158
5.36286110527565e-29,1
6.7600474943613e-20,1
6.46297916059889e-12,0.999999999993537
4.17861093199286e-16,1
1.11319210321431e-05,0.999988868078968
